containerId,id,name,type,vendor,triggers,raw
GTM-N26LKHCP,__gclidw,,Google Ads Conversion Linker,Google Ads,313,"{""function"":""__gclidw"",""priority"":1005,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableCrossDomain"":true,""vtp_enableUrlPassthrough"":true,""vtp_acceptIncoming"":true,""vtp_enableCookieOverrides"":false,""vtp_formDecoration"":false,""vtp_urlPosition"":""query"",""tag_id"":313}"
GTM-N26LKHCP,__googtag,DC-9124178,GA4 Config,Google Analytics,1702,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""DC-9124178"",""vtp_configSettingsVariable"":[""macro"",85],""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1702}"
GTM-N26LKHCP,__googtag,DC-11500802,GA4 Config,Google Analytics,1703,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""DC-11500802"",""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1703}"
GTM-N26LKHCP,__googtag,DC-6258894,GA4 Config,Google Analytics,1704,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""DC-6258894"",""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1704}"
GTM-N26LKHCP,__googtag,DC-15158822,GA4 Config,Google Analytics,1705,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""DC-15158822"",""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1705}"
GTM-N26LKHCP,__googtag,DC-8500392,GA4 Config,Google Analytics,1706,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""DC-8500392"",""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1706}"
GTM-N26LKHCP,__googtag,AW-1046403988,GA4 Config,Google Analytics,1707,"{""function"":""__googtag"",""priority"":1000,""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_tagId"":""AW-1046403988"",""vtp_configSettingsTable"":[""list"",[""map"",""parameter"",""send_page_view"",""parameterValue"",""false""]],""tag_id"":1707}"
GTM-N26LKHCP,__html,HMI - Meta - Add to Cart,Custom HTML,Custom,339,"{""function"":""__html"",""priority"":100,""metadata"":[""map"",""name"",""HMI - Meta - Add to Cart""],""consent"":[""list"",""ad_storage""],""setup_tags"":[""list"",[""tag"",631,0]],""once_per_event"":true,""vtp_html"":[""template"",""<script type=\""text/gtmscript\"">if("",[""escape"",[""macro"",12],8,16],"".add.products.length>0)for(i=0;i<"",[""escape"",[""macro"",12],8,16],"".add.products.length;i++){var prod="",[""escape"",[""macro"",12],8,16],"".add.products[i];fbq(\""track\"",\""AddToCart\"",{content_name:prod.name,content_category:prod.category,content_ids:[prod.id],content_type:\""product\"",value:prod.price,currency:\""USD\"",park_location:"",[""escape"",[""macro"",29],8,16],""})}else "",[""escape"",[""macro"",43],8,16],"".toLowerCase().includes(\""add to cart\"")&&fbq(\""trackCustom\"",\""AddToCart\"",{park_location:"",[""escape"",[""macro"",29],8,16],""});</script>""],""vtp_supportDocumentWrite"":false,""vtp_enableIframeMode"":false,""vtp_enableEditJsMacroBehavior"":false,""tag_id"":339}"
GTM-N26LKHCP,__html,Custom HTML - Set CJ Universal Tag Cookie,Custom HTML,Custom,467,"{""function"":""__html"",""priority"":100,""metadata"":[""map"",""name"",""Custom HTML - Set CJ Universal Tag Cookie""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_html"":""<script type=\""text/gtmscript\"">(function(){try{var a=\""cjevent\"";a=a.replace(/[\\[]/,\""\\\\[\"").replace(/[\\]]/,\""\\\\]\"");var b=new RegExp(\""[\\\\?\\x26]\""+a+\""\\x3d([^\\x26#]*)\"");results=b.exec(location.search);var d=results===null?\""\"":decodeURIComponent(results[1].replace(/\\+/g,\"" \""));if(d!=\""\""){var c=new Date,e=c.getTime();a=e+33696E6;c.setTime(a);a=\""; secure\"";b=\""; samesite\\x3dNone\"";document.cookie=\""cje\\x3d\""+d+a+b+\""; expires\\x3d\""+c.toGMTString()}}catch(f){}})();</script>"",""vtp_supportDocumentWrite"":false,""vtp_enableIframeMode"":false,""vtp_enableEditJsMacroBehavior"":false,""tag_id"":467}"
GTM-N26LKHCP,__html,HMI - TikTok - Add to Cart,Custom HTML,Custom,1825,"{""function"":""__html"",""priority"":100,""metadata"":[""map"",""name"",""HMI - TikTok - Add to Cart""],""consent"":[""list"",""ad_storage""],""setup_tags"":[""list"",[""tag"",629,0]],""once_per_event"":true,""vtp_html"":[""template"",""<script type=\""text/gtmscript\"">ttq.instance(\"""",[""escape"",[""macro"",152],7],""\"").track(\""AddToCart\"",{contents:[{content_ids:\"""",[""escape"",[""macro"",153],7],""\""}]});</script>""],""vtp_supportDocumentWrite"":false,""vtp_enableIframeMode"":false,""vtp_enableEditJsMacroBehavior"":false,""tag_id"":1825}"
