containerId,id,name,type,conditionsSummary,raw
GTM-N26LKHCP,trigger_0,Trigger #0,Custom Trigger,All Pages,"[[""if"",0,1],[""add"",14,60]]"
GTM-N26LKHCP,trigger_1,Trigger #1,Custom Trigger,All Pages,"[[""if"",0,4],[""add"",15]]"
GTM-N26LKHCP,trigger_2,Trigger #2,Custom Trigger,All Pages,"[[""if"",0,5],[""add"",16]]"
GTM-N26LKHCP,trigger_3,Trigger #3,Custom Trigger,All Pages,"[[""if"",7,8],[""unless"",6],[""add"",17]]"
GTM-N26LKHCP,trigger_4,Trigger #4,Custom Trigger,All Pages,"[[""if"",0,9],[""add"",18]]"
GTM-N26LKHCP,trigger_5,Trigger #5,Custom Trigger,All Pages,"[[""if"",0,10],[""add"",19]]"
GTM-N26LKHCP,trigger_6,Trigger #6,Custom Trigger,All Pages,"[[""if"",0,11],[""add"",20]]"
GTM-N26LKHCP,trigger_7,Trigger #7,Custom Trigger,All Pages,"[[""if"",12,13],[""unless"",6],[""add"",21,572,577,578,582,609]]"
GTM-N26LKHCP,trigger_8,Trigger #8,Custom Trigger,All Pages,"[[""if"",0,15],[""add"",22,71]]"
GTM-N26LKHCP,trigger_9,Trigger #9,Custom Trigger,All Pages,"[[""if"",0,16],[""add"",23,25,55,107,565,585]]"
GTM-N26LKHCP,trigger_10,Trigger #10,Custom Trigger,All Pages,"[[""if"",0,17],[""add"",24]]"
GTM-N26LKHCP,trigger_11,Trigger #11,Custom Trigger,All Pages,"[[""if"",0,18],[""add"",26]]"
GTM-N26LKHCP,trigger_12,Trigger #12,Custom Trigger,All Pages,"[[""if"",8],[""unless"",6],[""add"",27,41,85,94,554,555,580,598,603,626,630,633]]"
GTM-N26LKHCP,trigger_13,Trigger #13,Custom Trigger,All Pages,"[[""if"",0,19],[""add"",28,120]]"
GTM-N26LKHCP,trigger_14,Trigger #14,Custom Trigger,All Pages,"[[""if"",20,21],[""add"",29]]"
GTM-N26LKHCP,trigger_15,Trigger #15,Custom Trigger,All Pages,"[[""if"",0,22],[""add"",30,116,541,605,623]]"
GTM-N26LKHCP,trigger_16,Trigger #16,Custom Trigger,All Pages,"[[""if"",0,23],[""add"",31]]"
GTM-N26LKHCP,trigger_17,Trigger #17,Custom Trigger,All Pages,"[[""if"",0,24],[""add"",32]]"
GTM-N26LKHCP,trigger_18,Trigger #18,Custom Trigger,All Pages,"[[""if"",0,25],[""add"",33,600]]"
GTM-N26LKHCP,trigger_19,Trigger #19,Custom Trigger,All Pages,"[[""if"",0,26],[""add"",34]]"
GTM-N26LKHCP,trigger_20,Trigger #20,Custom Trigger,All Pages,"[[""if"",0,27],[""add"",35,69]]"
GTM-N26LKHCP,trigger_21,Trigger #21,Custom Trigger,All Pages,"[[""if"",0,28],[""add"",36]]"
GTM-N26LKHCP,trigger_22,Trigger #22,Custom Trigger,All Pages,"[[""if"",0,29],[""add"",37,52]]"
GTM-N26LKHCP,trigger_23,Trigger #23,Custom Trigger,All Pages,"[[""if"",0,30],[""add"",38]]"
GTM-N26LKHCP,trigger_24,Trigger #24,Custom Trigger,All Pages,"[[""if"",0,31],[""add"",39]]"
