Type/Name,Enabled
PAGE_URL,TRUE
PAGE_HOSTNAME,TRUE
PAGE_PATH,TRUE
REFERRER,TRUE
EVENT,TRUE
CLICK_ELEMENT,TRUE
CLICK_CLASSES,TRUE
CLICK_ID,TRUE
CLICK_TARGET,TRUE
CLICK_URL,TRUE
CLICK_TEXT,TRUE
FORM_ELEMENT,TRUE
FORM_CLASSES,TRUE
FORM_ID,TRUE
FORM_TARGET,TRUE
FORM_URL,TRUE
FORM_TEXT,TRUE
ERROR_MESSAGE,TRUE
ERROR_URL,TRUE
ERROR_LINE,TRUE
NEW_HISTORY_FRAGMENT,TRUE
OLD_HISTORY_FRAGMENT,TRUE
NEW_HISTORY_STATE,TRUE
OLD_HISTORY_STATE,TRUE
HISTORY_SOURCE,TRUE
CONTAINER_VERSION,TRUE
DEBUG_MODE,TRUE
RANDOM_NUMBER,TRUE
CONTAINER_ID,TRUE
HTML_ID,TRUE
ENVIRONMENT_NAME,TRUE
VIDEO_PROVIDER,TRUE
VIDEO_URL,TRUE
VIDEO_TITLE,TRUE
VIDEO_DURATION,TRUE
VIDEO_PERCENT,TRUE
VIDEO_VISIBLE,TRUE
VIDEO_STATUS,TRUE
VIDEO_CURRENT_TIME,TRUE
SCROLL_DEPTH_THRESHOLD,TRUE
SCROLL_DEPTH_UNITS,TRUE
SCROLL_DEPTH_DIRECTION,TRUE
ELEMENT_VISIBILITY_RATIO,TRUE
ELEMENT_VISIBILITY_TIME,TRUE
