Folder ID,Folder Name,Tags,Triggers,Variables
6,GA4,"GA4 - Event - navigation_click, GA4 - Event - register_product, GA4 - Ecommerce - view_cart, GA4 - Ecommerce - select_item, GA4 - page_view, GA4 - Configuration - Support Sub-Domain, GA4 - Ecommerce - remove_from_cart, GA4 - Event - video_progress, GA4 - Event - video_in_viewport, GA4 - Event - email_signup, GA4 - Event - outbound_clicks, GA4 - SS Configuration, GA4 - Ecommerce - add_to_cart, GA4 - Ecommerce - view_item, GA4 - Event - popup, GA4 - Event - notify_me, GA4 - Ecommerce - add_payment_info, GA4 - Ecommerce - view_item_list, GA4 - Event - filter_click, GA4 - Configuration, GA4 - Event - view_search_results, GA4 - Promo Code Apply, GA4 - Event - scroll, GA4 - Event - ctas, GA4 - Event - compare_model, GA4 - Event - video, GA4 - Event - user_login, GA4 - SS - Send Events, GA4 - Event - new_account, GA4 - Ecommerce - purchase, GA4 - Ecommerce - add_shipping_info, GA4 - Ecommerce - begin_checkout","GA4 - Ninja - begin_checkout, GA4 - view_item, GA4 - add_shipping_info, GA4 - Shark - add_to_cart, GA4 - view_item_list, GA4 - Shark - begin_checkout, GA4 - view_cart, GA4 - Ninja - add_to_cart, GA4 - add_to_cart, GA4 - begin_checkout, GA4 - add_payment_info, GA4 - select_item, GA4 - PDP view_item, GA4 - Shark - remove_from_cart, GA4 - remove_from_cart, GA4 - Ninja - remove_from_cart","GA4 - Ecommerce - items, GA4 - Ecommerce - currency, GA4 - Ecommerce - value, GA4 - Ecommerce - transaction_id, GA4 - Ecommerce - item_list_name, GA4 - Ecommerce - items_price, GA4 - page_type, GA4 - MeasurementId, GA4 - ga_id, GA4 - Ecommerce - item_list_id, GA4 - compare_sku, GA4 - last_purchased, dlv - customer_type, GA4 - Ecommerce - coupon, GA4 - Ecommerce - shipping, GA4 - Ecommerce - affiliation, GA4 - compare_action, GA4 - Ecommerce - payment_type, GA4 - Ecommerce - coupon (basket), GA4 - Ecommerce - tax, GA4 - Ecommerce - shipping_tier"
18,GDPR Cookie Consent Notification,,"Custom - page_view_delayed, Custom - page_view_delayed - PV - Homepage, Custom - page_view_delayed - Prod, Custom - page_view_delayed - Order-Status, Custom - page_view_delayed - UAT, Custom - page_view - Registration Confirmation, Custom - page_view (DUP), Custom - first_pageload - Order-Status","dlv - OnetrustActiveGroups, Regex - social media cookies allowed, Regex - functional cookies allowed, Regex - targeting cookies allowed, Regex - performance cookies allowed"
21,Extole,"cHTML - Extole - Drop a hint, cHTML - Extole - AutoPop - new cart, cHTML - Extole Framework, cHTML - Extole - Conversion",,
25,Ecommerce,,"GA4 - purchase, GA4 - Shark - purchase, GA4 - Ninja - purchase","cJS - Facebook - Product SKUs - Uppercase, cJS - Product SKUs, DLV - eCommerce Promotion, DLV - eCommerce Object, cJS - Pinterest line items, cJS - Main SKU - Lowercase, cJS - Cart Subtotal, Cookie - Previous Order ID, cJS - Number of Products, cJS - Main SKU, cJS - Product SKUs (Hyphen Delimited), cJS - Product SKUs double quotes comma delimited, DLV - eCommerce Offer"
86,Snapchat,"Horizon - Snapchat - Shark - Page View, Horizon - Snapchat - Shark - Page View - Check Order, Horizon - Snapchat - Shark - Checkout, Horizon - Snapchat - Shark - Purchase, Horizon - Snapchat - Shark - View Content, Horizon - Snapchat - Shark - Add To Cart, Horizon - Snapchat - Shark - Waitlist, Horizon - Snapchat - Shark - email Signup",,SnapChat - _scid Cookie
92,DoubleClick,"Horizon - DCM - Shark - Checkout, Horizon - DCM - Shark - Email, Horizon - DCM - Shark - Homepage - Unique, Horizon - DCM - Shark - Add To Cart, Horizon - DCM - Shark - Homepage - Standard, Horizon - DCM - Shark - Product Pages - Standard",,
129,Trade Desk,"cHTML - Trade Desk - Notify Me (Carat), cHTML - Trade Desk - Email Signup (Carat), cHTML - Trade Desk Universal (Carat), cHTML - Trade Desk - Checkout (Carat), cHTML - Trade Desk - Add To Cart (Carat), cHTML - Trade Desk - Purchase (Carat)",,
141,TikTok,"Horizon - TikTok - Shark - Add to cart, Horizon - TikTok - Shark - Base Code, Horizon - TikTok - Shark - Base Code - Check Order, Horizon - TikTok - Shark - Purchase, Horizon - TikTok - Waitlist, Horizon - TikTok - Shark - Start Checkout, Horizon - TikTok - Shark - Product Detail, Horizon - TikTok - email Signup",,cJS - TikTok - line items
150,AdWords,"Horizon - Google Ads - Ninja - Page View Remarketing, Horizon - Google Ads - Shark - Page View Remarketing, Horizon - Google Ads - Ninja - Conversion, Horizon - Google Ads - Shark - Conversion",,
184,LunaMetrics Cookie Management Plugin,,"cEvent - removeCookie, cEvent - setCookie","DLV - Cookie Name, DLV - Cookie Path, DLV - Cookie Value, DLV - Cookie Expiration, DLV - Cookie Domain"
